Z,N,A,EL,mass_excess_keV_value,mass_excess_unc_keV_value,mass_excess_keV_flag,BE_per_A_keV_value,BE_per_A_unc_keV_value,BE_per_A_keV_flag,beta_decay_energy_keV_value,beta_decay_energy_unc_keV_value,S_2n_value,S_2n_unc_value,S_2n_flag,S_2p_value,S_2p_unc_value,S_2p_flag,Q_alpha_value,Q_alpha_unc_value,Q_alpha_flag,S_n_value,S_n_unc_value,S_n_flag,S_p_value,S_p_unc_value,S_p_flag,Total_BE_keV,data_quality,fully_experimental
40,60,100,Zr,-76372.736,8.143,experimental,8522.1066,0.0814,experimental,3418.5098,11.3976,11233.6146,11.7306,experimental,24528.2896,8.7589,experimental,-5879.4039,11.746,experimental,6827.3838,13.2863,experimental,13017.9766,10.4902,experimental,852210.6599999999,high,True
41,59,100,Nb,-79791.246,7.976,experimental,8548.4683,0.0798,experimental,6401.7829,7.9817,12409.2697,9.4129,experimental,22080.4402,11.2379,experimental,-3886.1757,10.0246,experimental,5527.22,14.412,experimental,9463.5466,13.1843,experimental,854846.8300000001,high,True
42,58,100,Mo,-86193.029,0.301,experimental,8604.6626,0.003,experimental,-172.0776,1.3704,14219.6845,0.346,experimental,19489.2134,8.4502,experimental,-3179.0846,0.3215,experimental,8294.2406,0.3756,experimental,11146.6559,12.0,experimental,860466.26,high,True
43,57,100,Tc,-86020.951,1.351,experimental,8595.1184,0.0135,experimental,3206.4401,1.376,15731.3734,3.5027,experimental,17074.2811,5.1796,experimental,-2843.0366,1.3549,experimental,6764.4,1.0,experimental,7339.816,1.339,experimental,859511.84,high,True
44,56,100,Ru,-89227.391,0.342,experimental,8619.3593,0.0034,experimental,-3636.2612,18.1231,17145.156,6.4714,experimental,15689.3531,0.3818,experimental,-2857.4178,0.3617,experimental,9673.3245,0.0257,experimental,9188.4931,0.9451,experimental,861935.93,high,True
45,55,100,Rh,-85591.13,18.125,experimental,8575.1732,0.1813,experimental,-378.4577,25.2879,18558.5476,21.6861,experimental,13736.8583,18.437,experimental,-2194.3977,18.8416,experimental,8077.9264,26.5862,experimental,5254.7162,18.1231,experimental,857517.32,high,True
46,54,100,Pd,-85212.672,17.637,experimental,8563.5652,0.1764,experimental,-7074.703,18.3319,20034.3231,18.2633,experimental,11565.7431,18.7836,experimental,-1557.2031,17.637,experimental,11101.129,18.361,experimental,6917.1217,26.2557,experimental,856356.5199999999,high,True
47,53,100,Ag,-78137.969,5.0,experimental,8484.9947,0.05,experimental,-3943.374,5.2735,21214.1808,33.2849,experimental,9540.693,12.9137,experimental,-875.1531,11.1816,experimental,9496.8046,8.0156,experimental,3244.0791,7.147,experimental,848499.47,high,True
48,52,100,Cd,-74194.595,1.677,experimental,8437.7375,0.0168,experimental,-10016.4492,2.7945,22700.8068,51.8237,experimental,7451.5521,5.0298,experimental,-436.0917,4.5169,experimental,12334.7816,2.3063,experimental,4771.0836,6.4856,experimental,843773.7499999999,high,True
49,51,100,In,-64178.146,2.236,experimental,8329.7495,0.0224,experimental,-7030.0,240.0,26414.0,304.0,estimated,5689.6636,32.9831,experimental,-2091.4166,90.1116,experimental,10873.0,298.0,estimated,1535.9854,2.7396,experimental,832974.95,mixed,True
50,50,100,Sn,-57148.146,240.01,experimental,8251.626,2.4001,experimental,,,,,not_calculable,4089.6636,245.5359,experimental,-4001.0,475.0,estimated,17243.0,630.0,estimated,3061.0,383.0,estimated,825162.6,mixed,True
40,61,101,Zr,-73160.987,8.332,experimental,8485.8439,0.0825,experimental,5730.5011,9.1366,11686.9528,13.4029,experimental,25220.4022,9.5841,experimental,-7005.2287,8.9932,experimental,4859.569,11.6498,experimental,13128.7168,13.9413,experimental,857070.2339,high,True
41,60,101,Nb,-78891.488,3.749,experimental,8534.8355,0.0371,experimental,4628.4637,3.7378,12698.7802,12.5685,experimental,22825.6996,7.6031,experimental,-5200.949,7.6842,experimental,7171.5602,8.813,experimental,9807.723,8.9647,experimental,862018.3855,high,True
42,59,101,Mo,-83519.952,0.308,experimental,8572.9159,0.0031,experimental,2824.6411,24.0018,13692.4815,0.3817,experimental,20481.2235,10.5035,experimental,-3008.1745,0.3311,experimental,5398.2409,0.0681,experimental,11017.6769,7.982,experimental,865864.5059,high,True
43,58,101,Tc,-86344.593,24.004,experimental,8593.1366,0.2377,experimental,1613.52,24.0,15159.3595,24.0197,experimental,18587.1909,26.8344,experimental,-3166.7118,24.3759,experimental,8394.9596,24.0405,experimental,7440.535,24.0017,experimental,867906.7966,high,True
44,57,101,Ru,-87958.113,0.413,experimental,8601.366,0.0041,experimental,-545.6846,5.8518,16475.3639,0.2362,experimental,16565.9486,0.4698,experimental,-2838.3281,0.4434,experimental,6802.0395,0.2348,experimental,9226.1326,1.3955,experimental,868737.966,high,True
45,56,101,Rh,-87412.428,5.841,experimental,8588.2172,0.0578,experimental,-1980.2833,3.9027,17970.5425,20.3079,experimental,14662.5009,5.9094,experimental,-2612.9074,7.1447,experimental,9892.6161,19.0424,experimental,5474.0078,5.8483,experimental,867409.9371999999,high,True
