Z,A,EL,E_2plus_keV,BE2_up_e2b2,BE2_up_Wu,tau_ps,beta_2,BE2_calc,ratio
40,100,Zr,212.53,1.35,95.4,3000.0,0.387,0.2630276993876354,5.132539284428923
40,102,Zr,151.78,1.958,134.8,2931.0,0.46,0.3816013474353571,5.131009135998093
40,104,Zr,139.3,1.55,104.0,2600.0,0.36,0.30213258747076593,5.130198013314193
42,100,Mo,535.561,0.976,69.0,177.7,0.3135,0.1902401599344533,5.130357335361145
42,102,Mo,296.61,1.28,87.8,1095.0,0.354,0.24855043252837059,5.149860279780022
42,104,Mo,192.19,1.29,86.6,1817.0,0.351,0.2515834814900801,5.127522651167639
42,106,Mo,171.549,1.74,114.0,793.0,0.403,0.3397027922672757,5.122124514746352
44,100,Ru,539.51,0.632,44.68,26.5,0.2408,0.12318739631697642,5.1303949827284745
44,102,Ru,475.0962,0.826,56.9,82.8,0.2717,0.1610765331533518,5.127997131733723
44,104,Ru,358.02,1.074,72.1,255.0,0.306,0.2094592265061752,5.127489573577399
44,106,Ru,270.07,0.894,58.6,518.0,0.276,0.1746191546215996,5.119713252176152
44,108,Ru,242.23,1.071,68.4,447.0,0.298,0.20896532209059274,5.125252311173857
44,110,Ru,240.71,1.107,69.0,469.0,0.299,0.21601924768773273,5.124543353656278
46,100,Pd,665.5,0.46,32.5,16.57,0.1965,0.08960587243289467,5.133592113000088
46,104,Pd,555.81,0.66,44.3,17.5,0.2294,0.1286968617784128,5.128330177439543
46,106,Pd,511.85,0.764,50.0,34.42,0.2437,0.14899245274880513,5.127776514210899
46,108,Pd,433.938,0.865,55.3,63.7,0.2562,0.1689441858422482,5.120034144339803
46,110,Pd,373.8,0.64,40.1,121.0,0.218,0.12554162075765338,5.097910924978908
46,112,Pd,348.79,0.83,51.0,118.0,0.245,0.1635487834420706,5.074938391663354
46,114,Pd,332.5,0.57,34.0,153.0,0.201,0.1116362305241293,5.1058692802853
48,100,Cd,1004.11,0.257,18.2,5.61,0.1407,0.050179288562421015,5.121634988513286
48,102,Cd,776.55,0.337,23.2,9.79,0.159,0.0656761962945125,5.131235044258458
