Z,N,A,EL,T01_mass_excess,T02_BE_per_A,T03_S_2n,T04_S_2p,T05_S_n,T06_S_p,T07_Q_alpha,T08_Q_beta,T09_E_2plus,T10_BE2_up,T11_beta2,T12_tau,T13_E_4plus,T14_R_42,F01_Z,F02_N,F03_A,F04_dZ50,F05_dZ82,F06_dN50,F07_dN82,F08_Zmod2,F09_Nmod2,F10_valence,F11_eveneven
40,60,100,Zr,-76372.736,8522.1066,11233.6146,24528.2896,6827.3838,13017.9766,-5879.4039,3418.5098,212.53,1.35,0.387,3000.0,564.575,2.65539898595577,40,60,100,10,42,10,22,0,0,20,1
41,59,100,Nb,-79791.246,8548.4683,12409.2697,22080.4402,5527.22,9463.5466,-3886.1757,6401.7829,,,,,,,41,59,100,9,41,9,23,1,1,18,0
42,58,100,Mo,-86193.029,8604.6626,14219.6845,19489.2134,8294.2406,11146.6559,-3179.0846,-172.0776,535.561,0.976,0.3135,177.7,1136.024,2.1210543807436224,42,58,100,8,40,8,24,0,0,16,1
43,57,100,Tc,-86020.951,8595.1184,15731.3734,17074.2811,6764.4,7339.816,-2843.0366,3206.4401,,,,,,,43,57,100,7,39,7,25,1,1,14,0
44,56,100,Ru,-89227.391,8619.3593,17145.156,15689.3531,9673.3245,9188.4931,-2857.4178,-3636.2612,539.51,0.632,0.2408,26.5,1226.4675,2.273297571027001,44,56,100,6,38,6,26,0,0,12,1
45,55,100,Rh,-85591.13,8575.1732,18558.5476,13736.8583,8077.9264,5254.7162,-2194.3977,-378.4577,,,,,,,45,55,100,5,37,5,27,1,1,10,0
46,54,100,Pd,-85212.672,8563.5652,20034.3231,11565.7431,11101.129,6917.1217,-1557.2031,-7074.703,665.5,0.46,0.1965,16.57,1416.0913,2.127889483103453,46,54,100,4,36,4,28,0,0,8,1
47,53,100,Ag,-78137.969,8484.9947,21214.1808,9540.693,9496.8046,3244.0791,-875.1531,-3943.374,,,,,,,47,53,100,3,35,3,29,1,1,6,0
48,52,100,Cd,-74194.595,8437.7375,22700.8068,7451.5521,12334.7816,4771.0836,-436.0917,-10016.4492,1004.11,0.257,0.1407,5.61,1799.0014,1.7916359844678529,48,52,100,2,34,2,30,0,0,4,1
49,51,100,In,-64178.146,8329.7495,26414.0,5689.6636,10873.0,1535.9854,-2091.4166,-7030.0,,,,,,,49,51,100,1,33,1,31,1,1,2,0
50,50,100,Sn,-57148.146,8251.626,,4089.6636,17243.0,3061.0,-4001.0,,,,,,,,50,50,100,0,32,0,32,0,0,0,1
